Sample,RHJC:Y,RHJC:Z,RKJC:Y,RKJC:Z,RAJC:Y,RAJC:Z,RTOE:Y,RTOE:Z,RHJC:Yf,RHJC:Zf,RKJC:Yf,RKJC:Zf,RAJC:Yf,RAJC:Zf,RTOE:Yf,RTOE:Zf,COPy,Fy,Fz
57,710.159363,803.812561,541.13031,405.239014,264.483795,132.980438,344.534485,24.909132,710.417985701,803.649182822,541.625132138,404.716770901,266.319003359,130.868632558,343.184268939,23.9140982163,347.593747864,197.068628048,628.846177793
58,728.043945,802.408875,558.15741,402.653778,272.37738,139.082901,345.837708,24.725147,728.312944596,802.159011819,558.826573502,401.73668025,274.398143134,137.45091269,343.651678366,24.4084870291,353.656683899,179.293787161,553.588084558
59,745.896606,801.304871,576.72345,399.688385,281.943237,145.050552,347.609314,25.007002,746.126194069,800.992613105,577.54224643,398.526838457,284.236135723,144.290325608,344.800916613,25.4381126597,355.32888526,157.961995345,473.734243433
60,763.619385,800.559753,597.063171,396.239899,293.411896,151.193756,350.030518,26.150127,763.733476582,800.190373691,597.793375369,395.136585955,295.994492432,151.314337289,346.996136478,27.0952454767,351.156916351,134.242304145,392.526620432
61,781.114807,800.210388,619.228271,392.368713,307.658997,157.683945,353.331848,28.288311,781.020721721,799.799222252,619.551617715,391.646504618,309.775662721,158.443786208,350.644270188,29.4408885808,340.02223405,109.444897855,313.211241075
62,798.281982,800.215088,642.994934,388.367065,325.35788,164.397293,357.775238,31.232189,797.891790896,799.869663513,642.740767755,388.166964319,325.62089698,165.591462782,356.172040224,32.4953131968,321.325664439,84.900611577,238.793426034
63,814.958557,800.592468,667.965698,384.613739,345.853058,170.987427,363.818481,34.874813,814.274967194,800.451776346,667.241603837,384.833701075,343.51309012,172.660970319,363.998391491,36.2318972893,295.124991695,61.8405938519,171.816135275
64,831.042847,801.364014,693.75293,381.427399,367.585907,177.52179,372.170868,39.199814,830.127551856,801.59052982,692.899333256,381.800700141,363.383668955,179.546543868,374.504987491,40.5751699083,262.197092389,41.2914056724,114.185323556
65,846.278809,802.854492,720.113525,378.94632,388.97702,184.409866,383.844696,44.29781,845.438093503,803.320880143,719.532915803,379.230960937,385.122218314,186.13432925,388.007917068,45.4034815148,224.005238859,23.9978063593,67.06033351
66,860.778381,805.076233,747.011047,377.137482,410.059906,191.839066,399.875671,50.122837,860.226010405,805.663167231,746.945467249,377.285942757,408.587466336,192.305316113,404.733841065,50.5561662923,182.567148082,10.3807536736,30.8191775112
67,874.677124,808.076599,774.517029,375.933319,432.633881,199.014557,420.658752,56.288345,874.538644826,808.619319172,774.934948709,376.11461228,433.6184533,197.939746391,424.803410991,55.8445123483,140.237969416,0.532852158204,5.09922642071
68,888.201477,811.755371,802.673218,375.442169,458.148438,204.84082,445.834534,62.21804,888.446075188,812.17029354,803.304411477,375.843035011,460.045092479,202.922472199,448.223944486,61.0653880458,99.4408060169,-5.75154526549,-11.0953867706
69,901.495056,816.05249,831.451233,376.025574,486.013153,209.177505,474.513428,67.548409,902.034263527,816.275046508,831.87115864,376.565383384,487.697748075,207.148503728,474.892169409,66.0160574443,62.3897744997,-8.91854482769,-19.2360783794
70,914.67926,820.869202,860.536987,377.934784,514.780701,212.344818,505.955872,72.052414,915.397293088,820.87114568,860.474282447,378.33708927,516.415764703,210.52793066,504.606546618,70.5086039903,30.8515433979,-9.57901735202,-21.0833926546
71,927.886169,826.032593,889.34668,381.013702,544.160034,214.136017,539.502319,75.666512,928.629526435,825.876958188,888.980133848,381.170664993,546.055005049,212.989535635,537.087475941,74.3824860545,5.98066306602,-8.42596108614,-18.4951917105
72,941.180481,831.443054,917.655823,384.965698,574.93573,214.356949,574.837463,78.383499,941.81847916,831.195179937,917.285387552,385.034473645,576.494384485,214.482707386,572.002780204,77.5140501914,-11.7529510896,-6.15538144263,-13.251157675
73,954.602051,837.025513,945.790894,389.661285,607.370911,213.63974,611.709839,80.233604,955.039068092,836.717347005,945.317499286,389.854468473,607.641193753,214.977624592,608.995378827,79.8222744642,-22.5437137666,-3.3992730914,-6.91081299623
74,968.165588,842.643677,973.933289,395.097107,640.713623,212.8013,649.927795,81.257904,968.349682061,842.32889951,973.032524267,395.518665317,639.434767285,214.464023674,647.710045505,81.2705301053,-27.1512613552,-0.6765284387,-0.715974964528
75,981.850159,848.158508,1001.645203,401.355652,674.284546,211.798141,689.312073,81.504822,981.790273843,847.914354653,1000.41047815,401.883882487,671.847887568,212.949101326,687.816547376,81.8646550464,-26.746283612,1.63551030195,4.45832374656
76,995.623901,853.514099,1028.262939,408.575073,707.924194,209.985611,729.692627,81.030098,995.382422427,853.362183283,1027.44866037,408.784096299,704.88530394,210.455188643,729.027175583,81.6480563298,-22.7292826116,3.30909597359,8.10681324665
77,1009.471313,858.638184,1053.754761,416.616333,741.469543,207.007294,770.974976,79.91362,1009.13109974,858.569060712,1054.15359783,416.039633323,738.578941074,207.017768057,771.107555709,80.6948479884,-16.5495203459,4.25638903133,10.0583274587
78,1023.390198,863.41925,1079.032715,424.790894,774.863892,202.928436,813.12146,78.243561,1023.02771993,863.443261777,1080.53246569,423.466368783,772.979777431,202.684227256,813.880524771,79.1021583364,-9.54687854015,4.50638005817,10.4122993294
79,1037.35437,867.827881,1104.908936,432.360748,808.494446,197.797363,856.085205,76.113182,1037.05396501,867.90707617,1106.584956,430.884141287,808.146923132,197.513515636,857.223653441,76.9827014045,-2.83245771182,4.17359288322,9.45961605559
80,1051.384399,871.822083,1131.198364,439.18634,842.93927,191.64241,899.789673,73.636063,1051.18586799,871.898219084,1132.29655525,438.123736547,844.135003281,191.576644795,901.061588901,74.4585182058,2.7840490502,3.42377040368,7.59969129098
81,1065.544312,875.291321,1157.310669,445.458527,878.567627,184.808075,944.150146,70.934067,1065.39768347,875.37029461,1157.63404213,445.032028591,880.98141402,184.957791933,945.354749222,71.6564877898,6.81959284512,2.44112543757,5.26386169813
82,1079.809082,878.208862,1182.801147,451.275024,915.332214,177.735764,989.104187,68.136627,1079.665171,878.292430148,1182.5437474,451.475162555,918.69523257,177.755639314,990.086011556,68.705829956,9.10111166728,1.40066930182,2.85254800884
83,1094.098022,880.602112,1207.371338,456.621338,953.119812,170.458878,1034.593994,65.386375,1093.96803774,880.648238631,1206.95277775,457.339964021,957.249442971,170.084514399,1035.24693559,65.7374214996,9.71671359427,0.447831560134,0.690549418175
84,1108.383179,882.426819,1230.967651,461.472168,992.404419,162.563416,1080.535156,62.823853,1108.29141991,882.434284024,1230.77306039,462.53400456,996.57766985,162.074878472,1080.82480678,62.8843778197,8.94661253637,-0.313735256822,-0.998168950085
85,1122.640381,883.674133,1253.823242,465.824493,1034.058472,153.793686,1126.830688,60.579395,1122.62640919,883.658228244,1253.90776492,466.98489189,1036.57585594,153.872740908,1126.79143808,60.283060837,7.18596813634,-0.826441061844,-2.09741897705
86,1136.876465,884.368591,1276.172363,469.631287,1077.830322,144.856537,1173.392944,58.777214,1136.96974195,884.336828844,1276.25943734,470.639361246,1077.10841011,145.637646559,1173.0943,58.0735049675,4.87043627836,-1.07631051567,-2.59060794214
87,1151.157959,884.49408,1297.878296,472.810547,1121.72937,136.83075,1220.138916,57.536274,1151.32285408,884.493940294,1297.73904246,473.462628295,1118.01747833,137.538987827,1219.65021379,56.3982374289,2.41279471606,-1.08555354493,-2.54173194231
88,1165.502808,884.103455,1318.608276,475.271576,1164.161743,129.885056,1266.963501,56.950935,1165.69055715,884.158650069,1318.27505204,475.438256446,1159.13335404,129.750522649,1266.34158009,55.3986248648,0.155999799397,-0.902146672083,-2.07024231622
89,1179.884888,883.296448,1338.189209,476.901611,1205.195801,123.653976,1313.701294,57.052414,1180.0796081,883.363655385,1337.82172848,476.568544264,1200.28381625,122.44313147,1313.01494672,55.2082041306,-1.65504976876,-0.588364960695,-1.32423182174
90,1194.303833,882.093262,1356.619629,477.612793,1245.323242,117.875381,1360.114624,57.806736,1194.49742461,882.143957393,1356.36583153,476.875209181,1241.30044693,115.776026733,1359.4816463,55.942928069,-2.88351437128,-0.209925636683,-0.455653827886
91,1208.794067,880.459106,1374.070801,477.381104,1284.646851,112.196243,1405.95105,59.183952,1208.95114733,880.535917328,1373.93111248,476.399982384,1282.02069753,109.886850057,1405.52024248,57.6888300965,-3.4949895695,0.173019736239,0.399740802567
92,1223.320679,878.490417,1390.81311,476.228851,1322.801025,106.253929,1451.000977,61.206261,1223.44717481,878.576684286,1390.5801473,475.204669953,1322.28549328,104.881357031,1450.88058636,60.4882135868,-3.54024788382,0.5122967079,1.13620859188
93,1237.821655,876.344055,1406.883789,474.206573,1359.663208,100.410027,1495.073975,63.933018,1237.99120929,876.303969275,1406.41328367,473.370286579,1361.93325356,100.823670941,1495.28936876,64.3260132722,-3.13094348102,0.775257304141,1.68512190129
